,city,date,meeting,url,doc_type
121,San Mateo,2021-01-26 18:00:00,Planning Commission Special Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12259,Packet
122,San Mateo,2021-01-26 18:00:00,Planning Commission Special Meeting,https://youtube.com/watch?v=r3plJEce7Qs,Video
123,San Mateo,2021-01-20 19:00:00,Cancelled- Community Relations Commission,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=11752,Agenda
124,San Mateo,2021-01-19 19:00:00,City Council Regular Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12706,Agenda
125,San Mateo,2021-01-19 19:00:00,City Council Regular Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12119,Packet
126,San Mateo,2021-01-19 19:00:00,City Council Regular Meeting,https://youtube.com/watch?v=ZxT7ivAvLco,Video
127,San Mateo,2021-01-19 17:30:00,City Council Special Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12127,Agenda
128,San Mateo,2021-01-19 17:30:00,City Council Special Meeting,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=12128,Packet
129,San Mateo,2021-01-19 17:30:00,City Council Special Meeting,https://youtube.com/watch?v=D9U3aH5kYJw,Video
130,San Mateo,2021-01-13 19:00:00,Sustainability & Infrastructure Commission,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=11907,Agenda
131,San Mateo,2021-01-13 19:00:00,Sustainability & Infrastructure Commission,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=11906,Packet
132,San Mateo,2021-01-13 19:00:00,Sustainability & Infrastructure Commission,https://youtube.com/watch?v=ZvSVvINDM3k,Video
133,San Mateo,2021-01-13 17:40:00,Appointment Subcommittee - Personnel Board,https://sanmateo.primegov.com/Portal/Meeting?compiledMeetingDocumentFileId=11847,Agenda
